"排名","代號","名稱","成交","漲跌幅","成交額(百萬)","PER","累季營收年增(%)","近4Q營益季增(%)","風險係數(β)","累季ROA(%)","近4QROA(%)","歷年加均ROA(%)","累季ROE(%)","歷年加均毛利(%)","歷年加均毛利成長(%)","一個月走勢圖","三個月走勢圖"
"265",="2423","固緯","20.45","+2.76","5.81","9.01","+2.04","-0.84","0.74","7.53","10.7","8.05","10.3","47.1","+6.05","    ","    "
"266",="3537","堡達","26.35","+3.33","8.32","8.03","+6.63","+4.11","0.92","7.93","10.4","6.87","13.4","11.1","+4.35","    ","    "
"267",="1315","達新","45.3","+2.6","42.8","12.3","-1.25","+51.3","0.57","7.71","7.04","3.29","9.53","18.9","-3.75","    ","    "
"268",="8279","生展","81.8","+4.07","3.58","10.4","+26.1","+1.69","1.08","8.79","11.6","10.5","13.4","35.9","+15","    ","    "
"269",="6277","宏正","75.8","+2.02","18.3","12.5","-1.55","+7.74","0.6","6.76","20.4","14.9","10.4","57.2","+3.74","    ","    "
"270",="6245","立端","43.9","+8.26","41.7","10.5","+7.47","+6.1","1.45","6.67","10","7.72","11.9","28","+11.7","    ","    "
"271",="5007","三星","43.55","+0.23","1.28","14.3","-15.9","-7.9","0.34","8.1","11.5","12.5","10.1","22.6","+5.58","    ","    "
"272",="5306","桂盟","72.5","+2.11","7.9","9.18","+2.77","+5.58","0.76","7.46","9.9","2.62","14.9","36.7","+17.7","    ","    "
"273",="8131","福懋科","30.95","+5.09","19.9","11.5","+5.23","-3.9","0.92","7.47","9.23","9.61","8.52","15.3","+13.6","    ","    "
"274",="2375","凱美","25.8","+4.24","64.9","21.9","+62.6","+18.8","1.39","3.33","4.65","-3.05","5.76","7.5","-1.21","    ","    "
"275",="3611","鼎翰","172","+4.56","14.8","9.71","+49","+5.67","1.06","9.04","12.2","15.9","19.3","45.1","+12.8","    ","    "
"276",="4557","永新-KY","58.2","+2.65","2.74","11.7","+8.96","+0.83","0.5","7.88","11.6","11.7","10.8","33.4","+1.76","    ","    "
"277",="3022","威強電","31.5","+8.81","12.1","8.29","-0.7","-0.77","1.18","6.98","9.14","10.2","9.62","32.5","+1.61","    ","    "
"278",="2108","南帝","24.15","+2.33","11.2","8.33","-8.57","-4.93","0.44","11.3","15.3","10.2","13.8","19.5","+13.7","    ","    "
"279",="8454","富邦媒","331.5","+3.27","55.7","33.3","+23.4","+4.28","0.33","10.4","10.4","11.4","22.6","11","+10.5","    ","    "
"280",="2379","瑞昱","178","+5.64","944","14.5","+30.1","+7.8","1.35","7.75","9.18","7.76","20.1","42.9","+10.4","    ","    "
"281",="2404","漢唐","145","+4.69","300","9.97","+61.4","-1.88","1.08","9.84","13.6","7.75","27.2","15.1","+9.23","    ","    "
"282",="2726","雅茗-KY","51.5","+2.79","3.36","14.1","+4.42","+10.6","0.94","7.23","7.57","7.52","15.9","52","+11.2","    ","    "
"283",="3444","利機","27.9","+4.49","6.21","12","-6.1","+5.87","0.76","7.96","9.75","6.47","11.6","18.1","+0.62","    ","    "
"284",="8916","光隆","37.3","+1.36","11.9","7.66","+8.08","+1","0.53","6.15","8.05","4.31","10.4","13.9","+4.93","    ","    "
"285",="5904","寶雅","417.5","+3.09","82","21.6","+12.1","+5.87","0.56","13.4","13.4","17.9","44.6","42.4","+11.3","    ","    "
"286",="5203","訊連","90.5","+6.97","77.5","20.2","-10.6","-6.81","1.18","5.4","6.95","11.5","7.22","91.4","-2.84","    ","    "
"287",="3038","全台","14","+6.87","26.4","8.43","+45.9","+29.9","1.23","6.44","7.06","1.66","12.1","14.3","+0.09","    ","    "
"288",="5223","安力-KY","24","-2.44","3.29","6.33","-0.62","-4.82","1.03","4.61","7.08","5.37","7.35","28.5","+14.7","    ","    "
"289",="3317","尼克森","27.45","+8.07","34.9","9.12","+12.7","+6.77","1.74","6.81","7.27","2.57","9.48","17.8","+2.66","    ","    "
"290",="6435","大中","64.2","+6.82","18.8","8.59","-15.1","-26.7","1.53","11.8","17.9","16.7","19.9","20.1","+22.7","    ","    "
"291",="3338","泰碩","84.9","+6.13","1,040","25.3","+32.2","+21","1.42","5.66","7.72","4.23","14.7","20.9","+5.37","    ","    "
"292",="4305","世坤","30.5","-0.33","0.55","13","-8.64","-3.64","0.26","9.41","13","13.6","11","21.5","+2.35","    ","    "
"293",="2527","宏璟","15.75","+3.96","6.66","4.3","+159","+18.5","0.8","3.24","4.59","0.53","8.47","24.3","+16.2","    ","    "
"294",="4426","利勤","24.75","+5.32","15.1","10","+17.7","+20","1.47","6.69","7.96","10.9","10.6","36.6","-8.83","    ","    "
"295",="6569","醫揚","159","+1.6","5","14.6","+9.42","-9.48","0.52","14.6","15.5","16.6","19.7","35.1","+7.82","    ","    "
"296",="8410","森田","20.85","+5.57","0.15","8.62","+0.39","+43.6","0.68","3.16","5","5.69","4.04","32.1","+1.89","    ","    "
"297",="9917","中保科","77.9","+0.39","44","16.1","+1.18","+0.3","0.48","7.77","10.6","10.8","15.2","40","+1.99","    ","    "
"298",="6206","飛捷","60","+3.45","13.2","11.6","-25","-1.67","0.75","9.96","12.1","16.7","12.4","31.9","+6.98","    ","    "
"299",="5434","崇越","82.2","+5.38","131","8.7","+6.71","+3.75","1.08","7.23","9.62","8.48","15","12.1","+8.97","    ","    "
"300",="5534","長虹","67.6","+2.89","27.6","7.16","-39.8","+7.88","0.71","7.49","9.44","11.2","13","44.1","+11.9","    ","    "
