公司名稱,公司代號,營業收入(百萬元),毛利率(%),營業利益率(%),稅前純益率(%),稅後純益率(%)
致茂,2360,"9,431.83",48.59,14.22,16.00,13.42
矽統,2363,180.53,39.43,-144.42,-60.90,-60.96
昆盈,2365,"1,173.86",28.47,2.76,4.87,2.76
金像電,2368,"13,331.58",10.15,0.07,-1.28,-1.48
大同,2371,"24,569.85",-1.76,-28.74,-42.95,-44.21
佳能,2374,"5,375.79",12.00,-5.32,-2.96,-3.27
技嘉,2376,"46,009.18",15.64,2.47,3.94,3.27
瑞昱,2379,"44,059.31",43.71,10.31,12.43,11.68
廣達,2382,"732,212.93",4.69,1.66,1.97,1.60
群光,2385,"67,914.04",17.26,6.80,9.44,7.86
威盛,2388,"4,119.25",32.74,-14.16,2.21,1.63
正崴,2392,"69,322.60",9.94,1.64,2.39,1.82
研華,2395,"40,658.89",38.94,16.78,17.70,13.99
映泰,2399,"1,658.06",11.28,-3.17,1.41,-0.04
毅嘉,2402,"4,653.52",11.13,4.31,4.54,3.32
浩鑫,2405,"2,468.82",20.59,-0.76,-0.13,-0.37
南亞科,2408,"38,611.95",33.97,20.92,25.06,22.11
中華電,2412,"152,287.50",35.14,20.17,20.85,16.90
精技,2414,"13,598.32",9.07,2.03,2.07,1.69
圓剛,2417,"2,166.22",48.21,-2.29,-0.94,-1.20
新巨,2420,"1,949.56",37.92,19.74,23.28,18.53
固緯,2423,"1,863.79",50.45,13.48,16.43,12.71
承啟,2425,"3,394.94",6.91,2.68,4.07,3.74
三商電,2427,"1,828.03",34.28,2.17,4.29,3.84
銘旺科,2429,637.48,9.52,-2.88,-4.24,-4.24
聯昌,2431,"2,260.14",10.50,-0.93,0.89,0.04
統懋,2434,125.85,-69.16,-115.65,-118.49,-119.78
翔耀,2438,311.31,24.81,8.30,-18.50,-22.20
太空梭,2440,"1,981.41",5.45,-0.76,-2.85,-2.96
新美齊,2442,"3,317.85",14.32,-2.25,10.96,9.48
兆勁,2444,"1,079.96",9.54,-3.45,-3.54,-3.54
京元電子,2449,"18,392.30",26.19,14.41,14.09,11.04
創見,2451,"10,210.11",22.38,12.85,16.27,13.06
聯發科,2454,"181,513.35",41.62,9.00,11.00,9.27
奇力新,2456,"11,878.42",25.89,10.52,11.01,8.43
義隆,2458,"6,775.00",46.44,21.48,27.22,21.92
建通,2460,"2,541.75",9.04,-1.45,-2.29,-2.15
良得電,2462,"3,502.95",10.26,2.33,3.48,2.88
麗臺,2465,"2,624.18",13.57,0.29,-0.46,-1.15
志聖,2467,"3,368.03",29.23,6.79,11.02,8.52
資通,2471,499.66,41.41,9.57,11.83,9.40
可成,2474,"59,695.46",23.70,14.01,25.30,13.13
美隆電,2477,"2,771.03",23.25,8.85,13.29,9.88
敦陽科,2480,"3,938.10",24.12,9.47,10.53,8.22
連宇,2482,754.13,40.87,3.06,4.82,3.20
希華,2484,"1,728.88",21.07,7.14,9.26,7.42
一詮,2486,"2,717.72",9.13,-4.89,-4.56,-3.77
瑞軒,2489,"11,019.48",13.77,-0.27,1.80,1.41
華新科,2492,"23,423.63",36.55,27.67,32.12,24.97
普安,2495,"1,007.09",46.56,1.11,24.34,19.25
怡利電,2497,"1,716.30",23.06,1.71,1.44,0.23
東貝,2499,"3,357.39",22.63,2.34,-7.48,-7.55
國產,2504,"13,833.38",6.87,1.89,4.77,4.56
太設,2506,617.29,47.38,-2.12,3.98,-1.08
太子,2511,"8,781.82",27.23,8.12,9.99,9.11
中工,2515,"9,211.31",10.16,4.55,3.25,2.25
冠德,2520,"9,142.98",26.44,12.77,10.32,7.49
宏璟,2527,"5,285.46",23.50,13.87,14.17,11.86
華建,2530,7.94,76.02,-510.52,-516.38,-517.11
達欣工,2535,"7,748.29",11.45,7.27,7.78,6.16
聯上發,2537,749.56,7.89,-9.83,-11.82,-12.97
櫻花建,2539,"2,869.20",28.91,19.06,18.60,16.84
